Model,Safety stock,Average reorder point,Stockout days,Stockout units,Average excess inventory
Seasonal Naive,5064.074492591697,30905.574492591695,0,0.0,33855.78877830598
SARIMA,3094.21771078076,28734.20637467986,0,0.0,49821.86421247287
XGBoost,1393.0612797883136,28175.590431386925,0,0.0,86580.32481926426
LSTM,1769.6611004717226,28413.43812029034,0,0.0,78120.4145064227
