Rank,Model,MAE,RMSE,MAPE (%)
1,XGBoost,243.10561075664702,324.95372234333433,6.373456346049681
2,LSTM,316.0698942002796,407.49792895174556,7.748555832298037
3,SARIMA,566.2942547677737,716.0720745446314,14.851533186480722
4,Seasonal Naive,981.452380952381,1162.3235452358022,26.293221649052306
